"","ARHGAP5","BCOR","BMPR2","CACNA1D","CASP8","CIC","CIITA","CTNNB1","ERBB4","FAT4","FBN2","FGFR1","JAK1","MTOR","MYH11","NBEA","PIK3CA","PTPRB","PTPRK","RPL22","STAT6","TCF7L2"
"TCGA-AD-6890-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AY-6386-01A-21D-1719-10",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AZ-6607-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CA-6716-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"TCGA-CK-4947-01B-11D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-CK-4950-01A-01D-1719-10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"TCGA-CK-4952-01A-01D-1719-10",0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"TCGA-CK-5912-01A-11D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6161-01A-11D-1650-10",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"TCGA-CM-6164-01A-11D-1650-10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-CM-6165-01A-11D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"TCGA-D5-6536-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"TCGA-D5-6540-01A-11D-1719-10",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A0XF-01A-11D-A152-10",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A1D4-01A-21D-A152-10",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-DM-A28G-01A-11D-A16V-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-F4-6809-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
